iter	Passed	Remaining
1443	4604	3367
1444	4608	3364
1445	4611	3361
1446	4614	3357
1447	4617	3354
1448	4620	3351
1449	4624	3348
1450	4627	3345
1451	4630	3341
1452	4633	3338
1453	4635	3335
1454	4638	3331
1455	4641	3328
1456	4645	3325
1457	4648	3321
1458	4651	3318
1459	4654	3315
1460	4657	3311
1461	4659	3308
1462	4663	3305
1463	4666	3301
1464	4668	3298
1465	4672	3295
1466	4675	3292
1467	4678	3288
1468	4681	3285
1469	4684	3282
1470	4687	3279
1471	4691	3276
1472	4694	3272
1473	4697	3269
1474	4700	3266
1475	4703	3262
1476	4705	3259
1477	4708	3255
1478	4711	3252
1479	4714	3249
1480	4717	3245
1481	4720	3242
1482	4723	3239
1483	4726	3235
1484	4729	3232
1485	4732	3229
1486	4735	3226
1487	4739	3223
1488	4742	3220
1489	4746	3217
1490	4749	3214
1491	4752	3210
1492	4755	3207
1493	4758	3204
1494	4761	3200
1495	4764	3197
1496	4767	3194
1497	4770	3191
1498	4773	3187
1499	4776	3184
1500	4780	3181
1501	4782	3178
1502	4785	3174
1503	4789	3171
1504	4792	3168
1505	4795	3164
1506	4798	3162
1507	4801	3158
1508	4805	3155
1509	4809	3152
1510	4812	3149
1511	4815	3146
1512	4818	3143
1513	4821	3139
1514	4824	3136
1515	4827	3133
1516	4830	3130
1517	4833	3126
1518	4836	3123
1519	4839	3119
1520	4842	3116
1521	4845	3113
1522	4848	3110
1523	4851	3107
1524	4854	3103
1525	4857	3100
1526	4860	3096
1527	4863	3093
1528	4866	3090
1529	4869	3087
1530	4872	3084
1531	4876	3080
1532	4879	3077
1533	4882	3074
1534	4885	3071
1535	4888	3068
1536	4891	3064
1537	4894	3061
1538	4897	3058
1539	4900	3054
1540	4903	3051
1541	4906	3048
1542	4909	3045
1543	4912	3041
1544	4915	3038
1545	4918	3035
1546	4921	3032
1547	4924	3028
1548	4927	3025
1549	4930	3022
1550	4933	3018
1551	4936	3015
1552	4940	3012
1553	4943	3009
1554	4946	3005
1555	4949	3002
1556	4952	2999
1557	4955	2996
1558	4958	2992
1559	4961	2989
1560	4964	2986
1561	4967	2983
1562	4970	2980
1563	4973	2976
1564	4976	2973
1565	4979	2969
1566	4982	2966
1567	4985	2963
1568	4988	2960
1569	4991	2956
1570	4994	2953
1571	4997	2950
1572	5000	2946
1573	5003	2943
1574	5006	2940
1575	5010	2937
1576	5013	2934
1577	5016	2930
1578	5019	2927
1579	5022	2924
1580	5025	2920
1581	5028	2917
1582	5031	2914
1583	5034	2911
1584	5036	2907
1585	5039	2904
1586	5042	2900
1587	5045	2897
1588	5048	2894
1589	5051	2891
1590	5054	2887
1591	5057	2884
1592	5060	2881
1593	5063	2877
1594	5066	2874
1595	5069	2871
1596	5072	2868
1597	5075	2865
1598	5078	2861
1599	5082	2858
1600	5085	2855
1601	5088	2852
1602	5091	2849
1603	5094	2845
1604	5097	2842
1605	5100	2839
1606	5103	2836
1607	5106	2832
1608	5109	2829
1609	5112	2826
1610	5116	2823
1611	5118	2819
1612	5121	2816
1613	5124	2813
1614	5127	2809
1615	5130	2806
1616	5133	2803
1617	5137	2800
1618	5140	2797
1619	5142	2793
1620	5146	2790
1621	5149	2787
1622	5152	2784
1623	5155	2781
1624	5158	2777
1625	5162	2774
1626	5165	2771
1627	5168	2768
1628	5171	2764
1629	5173	2761
1630	5177	2758
1631	5180	2755
1632	5182	2751
1633	5186	2748
1634	5189	2745
1635	5191	2741
1636	5194	2738
1637	5197	2735
1638	5201	2732
1639	5204	2729
1640	5207	2725
1641	5210	2722
1642	5213	2719
1643	5216	2716
1644	5219	2712
1645	5222	2709
1646	5225	2706
1647	5228	2703
1648	5231	2699
1649	5234	2696
1650	5237	2693
1651	5240	2690
1652	5243	2686
1653	5246	2683
1654	5249	2680
1655	5253	2677
1656	5255	2673
1657	5258	2670
1658	5261	2667
1659	5264	2664
1660	5267	2660
1661	5271	2657
1662	5274	2654
1663	5277	2651
1664	5280	2648
1665	5283	2644
1666	5286	2641
1667	5289	2638
1668	5292	2635
1669	5295	2631
1670	5298	2628
1671	5302	2625
1672	5305	2622
1673	5308	2619
1674	5311	2616
1675	5314	2612
1676	5317	2609
1677	5320	2606
1678	5322	2602
1679	5325	2599
1680	5328	2596
1681	5331	2593
1682	5335	2590
1683	5338	2586
1684	5341	2583
1685	5344	2580
1686	5347	2577
1687	5350	2573
1688	5353	2570
1689	5356	2567
1690	5359	2564
1691	5362	2560
1692	5366	2557
